network,address,inflow_eth,outflow_eth,netflow_eth
ethereum,0x00000000219ab540356cbb839cbe05303d7705fa,77387.1164,52379.722,25007.3944
ethereum,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11215.788,7640.9117,3574.8763
ethereum,0x28c6c06298d514db089934071355e5743bf21d60,5984.8457,8783.9869,-2799.1412
ethereum,0x49048044d57e1c92a77f79988d21fa8faf74e97e,5481.0125,8144.7431,-2663.7306
ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,4738.3708,7219.0909,-2480.7201
ethereum,0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,3721.6891,5598.5784,-1876.8893
ethereum,0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,3147.0629,4835.25,-1688.1871
ethereum,0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,2282.704,3519.6952,-1236.9913
ethereum,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,1616.0628,2482.4132,-866.3505
ethereum,0xafcd96e580138cfa2332c632e66308eacd45c5da,1627.5402,2492.6777,-865.1375
